timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:43:14,694,50,66,85,-13.862600000000027,0.52
2021-04-11 17:43:14,712,50,66,85,-13.769000000000027,0.52
2021-04-11 17:43:14,729,50,66,85,-13.670400000000027,0.5800000000000001
2021-04-11 17:43:14,746,50,66,85,-13.571800000000028,0.5800000000000001
2021-04-11 17:43:14,765,50,66,85,-13.484400000000027,0.45999999999999996
2021-04-11 17:43:14,782,50,66,85,-13.385800000000028,0.5800000000000001
2021-04-11 17:43:14,799,50,66,85,-13.287200000000029,0.5800000000000001
2021-04-11 17:43:14,815,50,66,85,-13.18480000000003,0.6400000000000001
2021-04-11 17:43:14,846,50,66,85,-13.225400000000029,-0.13999999999999968
2021-04-11 17:43:14,883,50,66,85,-13.427000000000028,-0.56
2021-04-11 17:43:14,900,50,66,85,-13.347000000000028,0.3999999999999999
2021-04-11 17:43:14,917,50,66,85,-13.248400000000029,0.5800000000000001
2021-04-11 17:43:14,935,50,66,85,-13.154800000000028,0.52
2021-04-11 17:43:14,953,50,66,85,-13.061200000000028,0.52
2021-04-11 17:43:14,970,50,66,85,-12.962600000000029,0.5800000000000001
2021-04-11 17:43:14,988,50,66,85,-12.86400000000003,0.5800000000000001
2021-04-11 17:43:15,005,50,66,85,-12.76540000000003,0.5800000000000001
2021-04-11 17:43:15,022,50,66,85,-12.67180000000003,0.52
2021-04-11 17:43:15,039,50,66,85,-12.57320000000003,0.5800000000000001
2021-04-11 17:43:15,056,50,66,85,-12.47460000000003,0.5800000000000001
2021-04-11 17:43:15,073,50,66,85,-12.376000000000031,0.5800000000000001
2021-04-11 17:43:15,091,50,66,85,-12.282400000000031,0.52
2021-04-11 17:43:15,108,50,66,85,-12.183800000000032,0.5800000000000001
2021-04-11 17:43:15,126,50,66,85,-12.090200000000031,0.52
2021-04-11 17:43:15,143,50,66,85,-11.991600000000032,0.5800000000000001
2021-04-11 17:43:15,160,50,66,85,-11.893000000000033,0.5800000000000001
2021-04-11 17:43:15,177,50,66,85,-11.799400000000032,0.52
2021-04-11 17:43:15,195,50,66,85,-11.700800000000033,0.5800000000000001
2021-04-11 17:43:15,213,50,66,85,-11.607200000000033,0.52
2021-04-11 17:43:15,230,50,66,85,-11.508600000000033,0.5800000000000001
2021-04-11 17:43:15,248,50,66,85,-11.415000000000033,0.52
2021-04-11 17:43:15,265,50,66,85,-11.316400000000034,0.5800000000000001
2021-04-11 17:43:15,284,50,66,85,-11.229000000000033,0.45999999999999996
2021-04-11 17:43:15,302,50,66,85,-11.130400000000034,0.5800000000000001
2021-04-11 17:43:15,320,50,66,85,-11.043000000000033,0.45999999999999996
2021-04-11 17:43:15,338,50,66,85,-10.949400000000033,0.52
2021-04-11 17:43:15,355,50,66,85,-10.850800000000033,0.5800000000000001
2021-04-11 17:43:15,373,50,66,85,-10.752200000000034,0.5800000000000001
2021-04-11 17:43:15,390,50,66,85,-10.658600000000034,0.52
2021-04-11 17:43:15,408,50,66,85,-10.560000000000034,0.5800000000000001
2021-04-11 17:43:15,425,50,66,85,-10.466400000000034,0.52
2021-04-11 17:43:15,442,50,66,85,-10.367800000000035,0.5800000000000001
2021-04-11 17:43:15,460,50,66,85,-10.274200000000034,0.52
2021-04-11 17:43:15,478,50,66,85,-10.180600000000034,0.52
2021-04-11 17:43:15,496,50,66,85,-10.087000000000033,0.52
2021-04-11 17:43:15,513,50,66,85,-9.988400000000034,0.5800000000000001
2021-04-11 17:43:15,531,50,66,85,-9.894800000000034,0.52
2021-04-11 17:43:15,548,50,66,85,-9.796200000000034,0.5800000000000001
2021-04-11 17:43:15,565,50,66,85,-9.697600000000035,0.5800000000000001
2021-04-11 17:43:15,583,50,66,85,-9.604000000000035,0.52
2021-04-11 17:43:15,600,50,66,85,-9.505400000000035,0.5800000000000001
2021-04-11 17:43:15,617,50,66,85,-9.406800000000036,0.5800000000000001
2021-04-11 17:43:15,635,50,66,85,-9.313200000000036,0.52
2021-04-11 17:43:15,652,50,66,85,-9.214600000000036,0.5800000000000001
2021-04-11 17:43:15,670,50,66,85,-9.116000000000037,0.5800000000000001
2021-04-11 17:43:15,687,50,66,85,-9.022400000000037,0.52
2021-04-11 17:43:15,704,50,66,85,-8.923800000000037,0.5800000000000001
2021-04-11 17:43:15,721,50,66,85,-8.825200000000038,0.5800000000000001
2021-04-11 17:43:15,738,50,66,85,-8.726600000000039,0.5800000000000001
2021-04-11 17:43:15,755,50,66,85,-8.62800000000004,0.5800000000000001
2021-04-11 17:43:15,771,50,66,85,-8.52560000000004,0.6400000000000001
2021-04-11 17:43:15,791,50,66,85,-8.43820000000004,0.45999999999999996
2021-04-11 17:43:15,816,50,66,85,-8.427800000000039,0.040000000000000036
2021-04-11 17:43:15,835,50,66,85,-8.340400000000038,0.45999999999999996
2021-04-11 17:43:15,857,50,66,85,-8.260400000000038,0.3999999999999999
2021-04-11 17:43:15,881,50,66,85,-8.250000000000037,0.040000000000000036
2021-04-11 17:43:15,901,50,66,85,-8.170000000000037,0.3999999999999999
2021-04-11 17:43:15,922,50,66,85,-8.098600000000037,0.3400000000000001
2021-04-11 17:43:15,943,50,66,85,-8.027200000000036,0.3400000000000001
2021-04-11 17:43:15,963,50,66,85,-7.947200000000036,0.3999999999999999
2021-04-11 17:43:15,982,50,66,85,-7.859800000000036,0.45999999999999996
2021-04-11 17:43:16,001,50,66,85,-7.772400000000037,0.45999999999999996
2021-04-11 17:43:16,020,50,66,85,-7.678800000000036,0.52
2021-04-11 17:43:16,038,50,81,85,-7.306400000000036,1.96
2021-04-11 17:43:16,055,50,81,85,-6.952800000000036,2.08
2021-04-11 17:43:16,073,50,81,85,-6.589200000000036,2.02
2021-04-11 17:43:16,091,50,81,85,-6.235600000000036,2.08
2021-04-11 17:43:16,108,50,81,85,-5.872000000000036,2.02
2021-04-11 17:43:16,126,50,81,85,-5.518400000000036,2.08
2021-04-11 17:43:16,143,50,81,85,-5.154800000000036,2.02
2021-04-11 17:43:16,160,50,81,86,-5.0,2.08
2021-04-11 17:43:16,177,50,81,86,-5.0,2.08
2021-04-11 17:43:16,195,50,81,86,-5.0,2.02
2021-04-11 17:43:16,212,50,81,86,-5.0,2.08
2021-04-11 17:43:16,230,50,81,86,-5.0,2.08
2021-04-11 17:43:16,247,50,81,87,-5.0,2.02
2021-04-11 17:43:16,264,50,81,87,-5.0,2.08
2021-04-11 17:43:16,283,50,81,87,-5.0,2.02
2021-04-11 17:43:16,301,50,81,87,-5.0,1.96
2021-04-11 17:43:16,322,50,81,87,-5.0,1.84
2021-04-11 17:43:16,341,50,81,87,-5.0,1.96
2021-04-11 17:43:16,358,50,81,87,-5.0,2.08
2021-04-11 17:43:16,375,50,81,87,-5.0,2.08
2021-04-11 17:43:16,393,50,81,87,-5.0,2.02
2021-04-11 17:43:16,410,50,81,87,-5.0,2.08
2021-04-11 17:43:16,428,50,81,88,-5.0,2.02
2021-04-11 17:43:16,446,50,81,88,-5.0,2.02
2021-04-11 17:43:16,464,50,81,88,-5.0,2.02
2021-04-11 17:43:16,481,50,81,88,-5.0,2.08
2021-04-11 17:43:16,498,50,81,88,-5.0,2.08
2021-04-11 17:43:16,516,50,81,88,-5.0,2.02
2021-04-11 17:43:16,533,50,81,88,-5.0,2.08
2021-04-11 17:43:16,551,50,81,88,-5.0,2.08
2021-04-11 17:43:16,568,50,81,88,-5.0,2.02
2021-04-11 17:43:16,585,50,81,88,-5.0,2.08
2021-04-11 17:43:16,604,50,81,89,-5.0,1.96
2021-04-11 17:43:16,621,50,81,89,-5.0,2.08
2021-04-11 17:43:16,639,50,81,89,-5.0,2.02
2021-04-11 17:43:16,656,50,81,89,-5.0,2.08
2021-04-11 17:43:16,674,50,81,89,-5.0,2.02
